formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
CaCuO2,0.0,-2.126880714999999,0.015604196666667002,4.832002015729212,46.607380747893124
CaFe5O7,0.0,-1.816932862499999,0.045351816250002,4.987490472538873,574.3878695877493
CaFeO2,2.5069,-2.361847578124999,0.031921811875000004,4.538612762827848,187.21063679153013
CaFeSeO,1.917199999999999,-1.881196795585936,0.025772281249999,3.954589145623138,320.6074468465898
CaGaBO4,3.9612,-2.9093757377380953,0.0,3.150618159415835,389.19531007367505
CaGdAlO4,2.3719,-3.572300950000001,0.026640910153060002,5.860341424928627,81.69238481370415
CaHgO2,2.125,-2.093016145625001,0.0,6.482768359971848,69.84267344187123
CaIn2O4,2.020799999999999,-2.392656165476187,0.0,5.511331174718168,201.09158067639785
CaIrO3,0.0,-2.101949517000002,0.0,8.14993901333421,114.21872186793517
CaLa4Si3O13,4.4836,-3.726068436904762,0.0,4.999019103821489,589.9050496105676
CaLaMnFeO6,1.075699999999999,-2.697698679793102,0.057458161166655,5.493016591675045,233.23227960891992
CaLaMnMoO6,1.3872,-2.826177708793103,0.06314954764166801,5.408838656194043,261.4807908416755
CaMgSiO4,4.6294,-3.360924786785713,0.0,2.957136984745377,351.4454325096661
CaMn2O4,2.0103,-2.4479014340517242,0.0,4.647062841667492,305.8061848654581
CaMn4O8,0.5121,-2.16445706397878,0.028905956842955,3.725355223549337,172.869204643368
CaMn7O12,0.0,-2.132179828275861,0.019699506958332003,5.134500328470768,199.42544626888446
CaMnBi2,0.0,-0.346675369428872,0.11560055364224502,7.663535624167184,444.6084069590436
CaMnO3,0.468599999999999,-2.500438064086206,0.035074943833336,4.357036329648904,218.02043676963348
CaMnP2O7,3.4785,-2.901390524292431,0.0,3.263683968611376,273.6892075629557
CaMoO4,3.5006999999999993,-2.639627267500002,0.0,4.268849694147033,155.60806377644232
CaNb2O6,3.6052,-3.237535069722227,0.0,4.633305221035829,461.44700486399626
CaNdGa3O7,3.231,-2.8197093329166663,0.011759946759249,4.975143048552831,337.428391417467
CaNi3,0.0,-0.15872832749999902,2.6716666667425674e-05,6.276554157672643,171.56187614209867
CaOsO3,0.0,-2.1458542185,0.08730731009999501,7.839020401094235,235.8143206324524
